	Lean 	Lean 	Lean 	Lean 	Lean 	Lean 	Lean 	Lean 	Lean 	Lean 	Vehicle	Vehicle	Vehicle	Vehicle	Vehicle	Vehicle	Vehicle	Vehicle	Vehicle	Vehicle	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Vancomycin	Ceftazadine_low	Ceftazadine_low	Ceftazadine_low	Ceftazadine_low	Ceftazadine_low	Ceftazadine_low	Ceftazadine_low	Ceftazadine_low	Ceftazadine_low	Ceftazadine_low	Ceftazadine_high	Ceftazadine_high	Ceftazadine_high	Ceftazadine_high	Ceftazadine_high	Ceftazadine_high	Ceftazadine_high	Ceftazadine_high	Ceftazadine_high	Ceftazadine_high	OFS	OFS	OFS	OFS	OFS	OFS	OFS	OFS	OFS	OFS
454MID	16S.27f.534r.v1.v3.F.MID1  	16S.27f.534r.v1.v3.F.MID2   	16S.27f.534r.v1.v3.F.MID3   		16S.27f.534r.v1.v3.F.MID4 	16S.27f.534r.v1.v3.F.MID5   	16S.27f.534r.v1.v3.F.MID6   	16S.27f.534r.v1.v3.F.MID7   	16S.27f.534r.v1.v3.F.MID8   	16S.27f.534r.v1.v3.F.MID10  		16S.27f.534r.v1.v3.F.MID11   	16S.27f.534r.v1.v3.F.MID13   	16S.27f.534r.v1.v3.F.MID14   	16S.27f.534r.v1.v3.F.MID15   	16S.27f.534r.v1.v3.F.MID16   	16S.27f.534r.v1.v3.F.MID17   	16S.27f.534r.v1.v3.F.MID18  	16S.27f.534r.v1.v3.F.MID19   	16S.27f.534r.v1.v3.F.MID20  	16S.27f.534r.v1.v3.F.MID21   	16S.27f.534r.v1.v3.F.MID22   	16S.27f.534r.v1.v3.F.MID23   	16S.27f.534r.v1.v3.F.MID24  	16S.27f.534r.v1.v3.F.MID25   	16S.27f.534r.v1.v3.F.MID26  	16S.27f.534r.v1.v3.F.MID27   	16S.27f.534r.v1.v3.F.MID28   	16S.27f.534r.v1.v3.F.MID29   	16S.27f.534r.v1.v3.F.MID30   	16S.27f.534r.v1.v3.F.MID31 	16S.27f.534r.v1.v3.F.MID32   	16S.27f.534r.v1.v3.F.MID33   	16S.27f.534r.v1.v3.F.MID34   	16S.27f.534r.v1.v3.F.MID35   	16S.27f.534r.v1.v3.F.MID36   	16S.27f.534r.v1.v3.F.MID37   	16S.27f.534r.v1.v3.F.MID38   	16S.27f.534r.v1.v3.F.MID39  	16S.27f.534r.v1.v3.F.MID40	16S.27f.534r.v1.v3.F.MID41  	16S.27f.534r.v1.v3.F.MID42 	16S.27f.534r.v1.v3.F.MID43   	16S.27f.534r.v1.v3.F.MID44   	16S.27f.534r.v1.v3.F.MID45   	16S.27f.534r.v1.v3.F.MID46  	16S.27f.534r.v1.v3.F.MID47  	16S.27f.534r.v1.v3.F.MID48  	16S.27f.534r.v1.v3.F.MID49  	16S.27f.534r.v1.v3.F.MID50   	16S.27f.534r.v1.v3.F.MID51   	16S.27f.534r.v1.v3.F.MID52   	16S.27f.534r.v1.v3.F.MID53   	16S.27f.534r.v1.v3.F.MID55  	16S.27f.534r.v1.v3.F.MID56   	16S.27f.534r.v1.v3.F.MID57   	16S.27f.534r.v1.v3.F.MID58   	16S.27f.534r.v1.v3.F.MID59   	16S.27f.534r.v1.v3.F.MID60   
GLU   mg/dL	298.8	225.2	298.4	203.9	221.7	239	269.5	195.7	245.3	219.7	239.9	245.1	304.7	250.4	240.2	316.2	286.3	388.9	333.1	256.4	204.5	201.2	285.4	220.9	259	259	266.6	218.9	314.5	201.1	228.1	212.3	205.4	243	200	227	178.8	244.8	188.1	221.6	228.3	215.6	246.4	268.9	322.7	255.6	228.3	263.1	249.5	236.1	299.8	196.9	225.5	258.1	320	241	248.1	262.8	291.4
NEFA   mEq/L	0.45	0.5	0.34	0.32	0.35	0.31	0.44	0.57	0.73	0.42	0.52	0.62	0.53	0.48	0.45	0.52	0.49	0.44	0.35	0.53	0.54	0.74	0.42	0.46	0.77	0.36	0.45	0.56	0.33	1.22	0.58	0.5	0.5	0.45	1.91	0.45	0.61	0.51	0.58	0.5	0.54	0.48	0.76	0.54	1.13	0.49	0.48	3.27	0.45	0.6	0.8	0.67	0.55	0.69	0.64	0.55	0.57	0.76	0.64
TRIG   mg/dL	88.9	116.8	97.6	100.3	87.3	88.1	68.2	92.1	82	83.9	104.5	95.7	104.8	78.9	65.5	99.2	90	72.7	84.8	54.2	58	73.4	58.8	54.5	62.9	63	69.7	63	49.9	92.3	48.2	69.7	57.3	69.8	98	47.7	63.4	67.6	64.2	93.2	69.3	66.6	68.3	81.1	96.9	66.7	57.8	99.8	53.7	68.5	86.3	85.4	63	73.7	80.2	62.6	46.1	80.7	71
CHOL   mg/dL	67.5	74.8	76.7	74	70.5	80.1	65	69.9	77.5	69.3	188.6	206.4	185	179	211.3	235.9	156.3	202.3	176.4	238.2	162	208.9	179.4	209.4	180	191.7	214.1	162.5	161.2	212.1	138.4	230.6	183	210.9	181.3	182.6	180.4	148.5	209.6	111.9	172.2	160.7	185	206.6	169.7	161.2	199.1	167.6	163.5	173.2	128.8	172.1	155.2	178.2	155.7	160.2	145.5	176.6	141
HDL-C   mg/dL	45.2	45.9	46.6	46.1	44.9	51.1	37.9	42.1	42.4	44	86.4	95.8	82.4	91.1	89.9	94.9	83.5	83.1	89.3	98.5	87.3	89.8	88.2	86.6	81.3	88.4	95.8	86.3	80.9	90.8	83.7	105.5	93.2	99.9	90.9	95.1	92.6	82.3	99.6	58.7	91	77.8	84.9	94	86.5	83.7	92.4	6.2	84.8	85	76.4	90.4	80.6	92.2	85.3	84.8	79.3	91.4	77.6
GLYC   mg/dL	12.9	11.4	6.5	8.8	7.3	7.4	15	17.2	24.6	10.3	26.4	26.8	25.5	21.6	19.3	18.8	13.9	11.4	11	13.9	21.4	27.4	16.4	20.2	25.1	15.7	14.9	21.1	10.4	32.8	12.1	14.5	18.6	13	53.1	8.4	17.8	13.6	21.2	17.9	23.4	19	20	16.9	33.4	15.4	14.8	70.4	13.9	18.5	39	21.8	19.4	29.8	19.7	18.6	14.7	23	17.6
bHBA   mg/dL	2.1	2.4	2.3	2	2	1.8	2.5	2.2	2.3	1.7	1.3	1.5	1.5	1.8	2.3	1.5	1.3	1.2	1.2	3.7	1.6	0.9	1.8	1.6	1.4	1.2	1	2.6	1.1	2.1	2.8	1.3	2.3	1.4	INS	2.1	2.7	2	1.8	1.7	1.6	0.8	1.4	1.1	1.6	1.4	1.9	1.2	1.3	2.7	INS	2.6	1.7	2.8	2.2	1.8	2.9	2.5	2.5
TBIL   mg/dL	0.11	0.12	0.15	0.14	0.15	0.12	0.12	0.08	0.12	0.15	0.13	0.14	0.06	0.15	0.14	0.13	0.17	0.14	0.15	0.16	0.17	0.24	0.14	0.15	0.31	0.18	0.14	0.16	0.15	0.19	0.18	0.17	0.15	0.17	0.08	0.16	0.17	0.12	0.1	0.21	0.14	0.11	0.22	0.15	0.15	0.16	0.14	0.48	0.15	0.14	0.08	0.16	0.17	0.14	0.05	0.17	0.21	0.15	0.14
CREA   mg/dL	0.07	0.09	0.13	0.13	0.08	0.11	0.07	0.1	0.09	0.07	0.1	0.11	0.09	0.09	0.09	0.1	0.11	0.11	0.11	0.11	0.11	0.18	0.12	0.11	0.09	0.09	0.1	0.09	0.11	0.14	0.09	0.11	0.11	0.1	INS	0.11	0.1	0.09	0.11	0.08	0.11	0.1	0.09	0.11	0.1	0.11	0.08	0.12	0.08	0.11	INS	0.09	0.09	0.12	0.11	0.09	0.08	0.1	0.11
CK   U/L	534.9	367.2	72.8	319.7	80.7	180.8	529.2	3395.3	1642.4	118.6	266.4	81.4	1405.6	126.5	133.5	27	60.6	29.2	94.4	54.6	88.2	60.2	137.8	184.3	90.4	31.3	261.4	41.6	99	1107.5	45.5	76.3	37.6	72	2800.4	249.5	41.5	152	505.7	65	201.8	232.2	165	151.3	2339.8	201.1	69.8	221.8	116.7	433.8	2915.5	198.2	58	157.9	1697.3	48	73.4	375.8	266.1
AST   U/L	119.8	95.6	44.6	82.5	34.8	60.5	116.8	332.5	341.7	48.5	92.8	72	287.6	74.1	91.3	87.7	51.8	67.8	59.7	82.3	70.7	163.2	61.2	110.8	78	63.3	96.9	63.9	61.6	288.3	45.5	58	66.7	76.2	604	74.7	56.2	109	148.8	76.1	78	134.5	111.4	91	226.3	85.1	71.6	119.5	72.2	120.1	527.9	76.9	49.5	85.2	160.5	44.3	51.4	102.4	89.1
ALT   U/L	31.3	29.8	31.8	31.2	23.7	37.7	30.1	54	102	30.9	51.4	52.5	303.1	39.5	59	70.5	24.4	73	46.1	81	33.1	96.5	34.2	61.6	47.2	43.2	43.7	41.7	33.5	114.2	34.2	63.7	72.5	77.3	54.6	25.8	43.1	102.7	65.6	21.5	41.8	93.4	77.8	60.4	40.1	39.6	48.2	59.2	36.7	30.4	74.8	28.7	19.4	36.2	42.8	15.7	16.3	35.8	35.6
AMY   U/L	697.7	666	741.1	649.2	647.1	686.6	583.9	630.5	2450.6	645.3	813.4	830	660.7	741	714.1	685.3	830.6	749.3	769.9	723	722.3	8871.7	818.8	751.4	10875.7	716.6	768.8	851.2	846.7	9832.9	602.4	652.4	719.7	1862.9	INS	607.8	788.9	619.5	1543.7	779	726.8	590.5	5490.8	819.7	4891	698.4	690.3	36909.6	1522.9	696	621.5	778.6	1319.9	744.7	682.5	715	728.1	744.4	666.6
LIP   U/L	INS	52.5	70	54.1	57.7	57.1	48.1	57.5	1488.6	53.8	65.2	73.3	65.6	73.8	74.7	70.9	68.2	61.1	65.4	66.9	77.6	6738.3	69.9	72	9126.4	62.6	67.8	68.8	59.4	7605.1	53	64.7	62.3	1054.9	4534.6	56.8	70.2	54.6	288.8	178.3	66.5	59.7	4846.4	71	8190.5	62.3	66.6	31032	823.9	71	71.1	71.9	466	92.3	70.2	62.7	69.3	67.7	64.9
TP   g/dL	4.4	5.1	5	5.1	5	4.9	4.6	4.9	4.7	4.7	5.2	5.5	4.9	5.4	5.4	5.3	5.2	5.1	5.2	5.5	5.1	5.3	5	5.2	5.2	5.2	5.2	5.1	5	5.2	5.2	5.3	5.5	5.4	INS	5.4	5.4	5.4	5.3	4.8	5.3	4.9	5.3	5.2	5	5.2	5.3	5	5.1	5.4	INS	5.4	5.2	5.3	4.9	5	5.4	5	5
ALB   g/dL	2.6	3	2.9	3	2.9	2.9	2.8	3	2.9	2.7	2.8	3	2.8	3.1	3	3.1	2.9	2.9	2.9	3.3	2.8	2.9	2.7	3.1	2.8	2.8	2.8	3	2.7	3.1	3	3	3.1	2.9	INS	3.1	3.1	3.1	3	2.8	3	2.6	3	3	2.7	2.9	2.9	2.7	2.8	3.1	INS	2.9	2.8	3.1	3	2.9	2.9	2.8	2.7
A/G Ratio	1.4	1.5	1.4	1.5	1.4	1.4	1.5	1.6	1.6	1.4	1.2	1.2	1.3	1.4	1.3	1.4	1.3	1.3	1.2	1.5	1.2	1.2	1.2	1.5	1.2	1.2	1.2	1.4	1.2	1.5	1.4	1.3	1.3	1.2	INS	1.3	1.4	1.4	1.3	1.4	1.3	1.1	1.3	1.4	1.2	1.3	1.2	1.2	1.2	1.3	INS	1.2	1.2	1.4	1.6	1.4	1.2	1.3	1.2
Insulin	3706.7	743.6	322.9	1477.6	786.7		1069.7		1037.6	799.3	3809.6	4603.5		1929.9	2846	2164.6	1618.7	4907.8	1597.9	2908.7	1335.2	6914.2	3136.1	1669.2	1901.7	2787.5	2383	3437.6	1231.2		574.9	1466.6	1259.7	1145.9		1098.8	1770	830.9	772.5	2505.4	2801.3	1232.2	1846.9	2167.5	1954.8	2636.1	1880.3	2546.6	907	1555.8		2159.4	2648.2	1455.5	746.5	2370.4	1050.3	3233.6	6043
Amylin	131.5	71.6	47.3	82.1	49.8		55.5		68.8	62.9	189.7	181.5		119.4	130	140	114.8	222.4	111.4	159.3	114.8	174.4	183.5	141.2	160.9	151.7	105.8	165.6	98.6		19.2	77	76.5	91		81.7	110.7	60.9	72.5	49.8	130.3	326.9	103	134	105.5	111.1	109.7	110	68.8	98.6		145.3	155.1	88.6	63.9	109	85.4	118.1	242.9
Leptin	2495.9	3950.8	1344.2	3642.8	2046		2481.1		5721.8	3148.7	36043	19768		32244.3	26328.7	26149.5	24724.3	21304.9	15723.1	159685.7	22909	56405.9	25972	30104.4	85454.8	19944.8	16033.1	28241.5	14959.1		5855	12335.6	32860.4	19691.3		6615.7	13369.5	6462.3	12598.4	25732.8	20897	23084.7	26868.8	21087.6	20720.4	14886.3	19746	58133.5	15764	18090		15962.2	15133	20339	7269.4	17886.4	12247.3	24332.2	10617.5
Ghrelin	50.7	319.5	305.1	276.5	427.4		301.1		43.3	268.8	55.9	90.9		252.8	122.7	76.2	281	181.7	158.5	16.5	168.2	NaN	273.5	363	171.9	376.3	150.3	304.4	233		199	204.9	25.5	130.9		323	316.1	91.7	234.7	231.4	119.5	41.3	128.1	194.3	233.3	228.5	382.8	134.6	133.8	54		162.9	214.8	210	171	320	66.9	39.1	204.7
GIP	132.7	10.7	44.5	66.1	26.3		29.2		26.6	11.1	139.4	112.5		137.2	154.2	59.9	77.4	197.6	64.1	115.3	85.3	92.4	75.3	76.4	92.1	91.9	59.3	34.5	33.1		48.6	21.5	60.4	60		63.2	50.7	24.6	26.7	86.9	58.6	37.4	48.3	136.3	32.9	50.7	96.4	49.3	30.2	30.2		32.8	40.1	46.3	20	74.2	33.6	100.6	50.4
PYY	264.7	138.5	139.9	183.3	135.1		368.6		169.4	104.5	154.1	53.3		77.5	105.8	99	90.3	88.2	107.3	95	117.7	89.7	122.6	102.6	104	145.2	126.9	105.4	85.1		181.8	150.9	246	182.6		174.4	226.8	235.9	154	80.6	232.8	348.2	121.7	195.3	168.5	213.6	176.7	239.5	150.9	117.2		99.1	126.3	96	174.4	150.3	194	249.5	153.3
PPr	41.8	15.9	NaN	20.9	18.5		31.2		20.2	31.2	29.6	14.3		15.9	20.9	14.3	22.2	20.2	13.5	16.7	32.7	8.6	NaN	29.6	13.5	15.9	18.8	14.3	13.9		8.6	15.9	25.2	10.7		64.4	7.4	12.6	20.2	NaN	14.3	59.8	9.7	23.1	23.4	18.1	18.1	13.9	18.8	23.4		14.3	18.1	15.1	18.8	18.8	31.7	17.4	10.7
active GLP-1	4.1	3.3	5.6	5.1	4.3		5.7		2.3	3.3	3.2	1.9		2.3	1.2	2	2.1	2.1	1.1	1	6.4	8.3	6.4	4.4	6.5	6.5	7.6	4.6	4.7		13.6	11.4	14.3	11.8		9.9	26.2	18.4	9.6	15.9	23.9	7	16.7	15.7	10.4	10.8	9.1	7.8	21.6	6.6		4.4	9.7	6	6	6.3	8.6	4.2	3.7
